name,gender
Aaron,M
Abigail,F
Abraham,M
Adlai,M
Al,M
Alben,M
Alice,F
Andrew,M
Ann,F
Anna,F
Annie,F
Barack,M
Barbara,F
Benjamin,M
Bess,F
Betty,F
Bill,M
Calvin,M
Caro,F
Caroline,F
Charles,M
Chester,M
Cornelia,F
Dan,M
Daniel,M
Dick,M
Dolley,F
Donald,M
Dorothy,F
Dwight,M
Edith,F
Elbridge,M
Eleanor,F
Eliza,F
Elizabeth,F
Ellen,F
Evelyn,F
Florence,F
Floride,F
Frances,F
Franklin,M
Garret,M
George,M
Gerald,M
Grace,F
Grover,M
Hannah,F
Hannibal,M
Harriet,F
Harry,M
Helen,F
Henry,M
Herbert,M
Hillary,F
Hubert,M
Ida,F
Ilo,F
Jacqueline,F
James,M
Jane,F
Jennie,F
Jill,F
Jimmy,M
Joan,F
Joe,M
John,M
Judy,F
Julia,F
Karen,F
Lady Bird,F
Laura,F
Letitia,F
Levi,M
Lois,F
Lou,F
Louisa,F
Lucretia,F
Lucy,F
Lyndon,M
Lynne,F
Mamie,F
Margaret,F
Margaretta,F
Mariette,F
Marilyn,F
Marla,F
Martha,F
Martin,M
Mary,F
Melania,F
Michelle,F
Mike,M
Millard,M
Muriel,F
Nancy,F
Neilia,F
Nelson,M
Page,F
Pat,F
Rachel,F
Richard,M
Ronald,M
Rosalynn,F
Rutherford,M
Sarah,F
Schuyler,M
Sophia,F
Spiro,M
Theodore,M
Theodosia,F
Thomas,M
Tipper,F
Ulysses,M
Walter,M
Warren,M
William,M
Woodrow,M
Zachary,M