Read and write,Read Write
Cannot read,Illiterate
Read,Read
Can read and write,Read Write
Read write,Read Write
Read only,Read
Cannot read or write,Illiterate
Read and rite,Read Write
Can read,Read
Cannot,Illiterate
No,Illiterate
Cant read or write,Illiterate
Can read only,Read
Can read write,Read Write
Cannot read and write,Illiterate
Yes,Read Write
Read and wright,Read Write
Cannot read nor write,Illiterate
Cant read,Illiterate
Canot read,Illiterate
Scholar,Read Write
Both,Read Write
R and w,Read Write
Read rite,Read Write
Cannot write,Read
R and write,Read Write
Read and right,Read Write
Neither,Illiterate
Reed and write,Read Write
Read and Write,Read Write
Can read and rite,Read Write
Not read,Illiterate
Write and read,Read Write
Read an write,Read Write
Cannot read write,Illiterate
Not read or write,Illiterate
Read and w,Read Write
Read a write,Read Write
Cannot r or w,Illiterate
Read and writ,Read Write
Both read and write,Read Write
Canot read or write,Illiterate
Cannot read or w,Illiterate
Read wright,Read Write
Reads and writes,Read Write
Cannot read or rite,Illiterate
Cannot Read,Illiterate
Cannot r or write,Illiterate
Red and write,Read Write
Nil,Illiterate
Yes read and write,Read Write
Reid and write,Read Write
Can read or write,Read Write
Can read and w,Read Write
Cannott read,Illiterate
Read and wrte,Read Write
Read or write,Read Write
Neither read or write,Illiterate
Reed and rite,Read Write
Unknown,Unknown
R write,Read Write
Rd and write,Read Write
Write,Write
Infant,Illiterate
Can Read and write,Read Write
R w,Read Write
Read right,Read Write
Can't read or write,Illiterate
Cant read nor write,Illiterate
Read not write,Read
Neither read nor write,Illiterate
Reade and write,Read Write
Reed write,Read Write
Scholars,Read Write
Can't read,Illiterate
Read and c write,Read Write
Not,Illiterate
Can r and write,Read Write
Read nor write,Illiterate
Educated,Read Write
Cant read and write,Illiterate
Can read rite,Read Write
Read Write,Read Write
Illiterate,Illiterate
Write read,Read Write
Can not read,Illiterate
Read onely,Read
Can r and w,Read Write
Cannot reed,Illiterate
Read and wite,Read Write
Read and wr,Read Write
Cannot red,Illiterate
Can read and wright,Read Write
Read and write yes,Read Write
Reed,Read
Cannot r,Illiterate
Can read and right,Read Write
Can write,Read
Read-write,Read Write
Read and write both,Read Write
Read Only,Read
Yes both,Read Write
Read cannot write,Read
Connot read,Illiterate
Not read nor write,Illiterate
Cannot r w,Illiterate
Not read and write,Illiterate
Can,Read Write
Can read an write,Read Write
At school,Read Write
Cannt read,Illiterate
Cant read or rite,Illiterate
Read an rite,Read Write
Wread and write,Read Write
Read w,Read Write
Cannot Read or write,Illiterate
Read writ,Read Write
Cannot rd or write,Illiterate
Riad and write,Read Write
Cannot write or read,Illiterate
Can do both,Read Write
C read and write,Read Write
School,Read Write
Reade write,Read Write
Cannot reid,Illiterate
Not read write,Illiterate
Cant read write,Illiterate
Rread and write,Read Write
Can write and read,Read Write
Cant,Illiterate
Write only,Write
Cannot read or writ,Illiterate
Read and writes,Read Write
Can both read and write,Read Write
Reed and right,Read Write
Can read w,Read Write
Read a rite,Read Write
Reads and write,Read Write
Cannot read nor rite,Illiterate
Can reed and write,Read Write
Can read and writ,Read Write
Cannot reade,Illiterate
Red write,Read Write
Cant write,Read
Cannot read and c,Illiterate
Reid write,Read Write
Cannot rd,Illiterate
Cannot Read or Write,Illiterate
Reed and wright,Read Write
Can read and wr,Read Write
Read and,Read Write
Cannot read or,Illiterate
Cannot read or wr,Illiterate
Reid and rite,Read Write
Canot read or rite,Illiterate
Can read a write,Read Write
No cannot read,Illiterate
Cannot read cannot write,Illiterate
No education,Illiterate
Read and rit,Read Write
Can not,Illiterate
Reed rite,Read Write
Cannot read or wright,Illiterate
Cannot r and w,Illiterate
Can read and writee,Read Write
Cannot read rite,Illiterate
Cannott read or write,Illiterate
Cannot read and w,Illiterate
C read,Read
Redd and write,Read Write
Cannot read w,Illiterate
Read on write,Read Write
R and W,Read Write
Reed only,Read
No no,Illiterate
Read and wri,Read Write
Only read,Read
Can read not write,Read
?,Unknown
Cant r or w,Illiterate
Child,Illiterate
Dont read or write,Illiterate
Read and wrt,Read Write
Scolar,Read Write
Cannot read or right,Illiterate
Canot,Illiterate
Cannot read not write,Illiterate
Reade,Read
Cannot read and rite,Illiterate
Cannot not read,Illiterate
Not read or rite,Illiterate
Reads only,Read
Read and wrigh,Read Write
Cannot red or write,Illiterate
Canot reed,Illiterate
At School,Read Write
Can not read or write,Illiterate
Red and rite,Read Write
Cannot read or wrte,Illiterate
Read and r,Read Write
Rea and write,Read Write
Canot read and write,Illiterate
Cannott,Illiterate
Read and write scholar,Read Write
Read and writte,Read Write
Cannot read no,Illiterate
Cannot r nor w,Illiterate
Read and only,Read
Cannot read neither,Illiterate
Can r w,Illiterate
Going to school,Read Write
Can red and write,Read Write
He can read and write,Read Write
Can't read nor write,Illiterate
Read and Rite,Read Write
Cannot r write,Illiterate
Read and write educated,Read Write
Cant read or w,Illiterate
R and rite,Read Write
Canot read write,Illiterate
Attending school,Read Write
Can both,Read Write
Canot read nor write,Illiterate
Not write,Read
Cannot read or wrt,Illiterate
Schollar,Read Write
Reid,Read
Rd write,Read Write
Reaad and write,Read Write
Reads,Read
Can read cannot write,Read
Rad and write,Read Write
Cannot and read,Illiterate
Cannot r and write,Illiterate
Can neither read or write,Illiterate
Scollar,Read Write
Can reed,Read
Read and write and c,Read Write
Can read can write,Read Write
Cannot or write,Illiterate
Read and read,Read Write
Can read and wrte,Read Write
Read wrte,Read Write
Can Read and Write,Read Write
Read wite,Read Write
Can read and r,Read Write
Can read at write,Read Write
Read and write english,Read Write
Can reid and write,Read Write
Rite and read,Read Write
Boath,Read Write
Can r write,Read Write
Can reed and rite,Read Write
Reade and rite,Read Write
Can read or rite,Read Write
Cannot rite,Read
Can Read,Read
Learning,Read Write
C read write,Read Write
Can reed write,Read Write
Can read right,Read Write
Neither read and write,Illiterate
English,Read Write
Can rd and write,Read Write
Cant Read,Illiterate
Reed wright,Read Write
Cannot r nor write,Illiterate
No scholar,Read Write
Baby,Illiterate
R and r,Read Write
Can neither read nor write,Illiterate
Can read wright,Read Write
Not stated,Unknown
Cant r or write,Illiterate
Read and wrigt,Read Write
She can read and write,Read Write
Read or rite,Read Write
Yes read write,Read Write
Cannot read nor w,Illiterate
Not able to read or write,Illiterate
Cannot rea,Illiterate
Re and write,Read Write
Nill,Illiterate
Canot write,Read
Schoolar,Read Write
Not known,Unknown
Rread write,Read Write
All can read and write,Read Write
Read cannot,Illiterate
Both read write,Read Write
R W,Read Write
Cant read nor rite,Illiterate
Reid and wright,Read Write
Yes can read and write,Read Write
Reead and write,Read Write
Read cant write,Read Write
Cannot read only,Read
Read and wre,Read Write
Read and wte,Read Write
Cannot either,Illiterate
Cannt read or write,Illiterate
Reed right,Read Write
He read and write,Read Write
Read onley,Read
Can read and,Read Write
Can read writ,Read Write
Read and not write,Read
Can read wr,Read Write
Can read and c write,Read Write
Read not rite,Read
Cannot re,Illiterate
Both r and w,Read Write
Too young,Illiterate
Can reade and write,Read Write
Cannot rad,Illiterate
Read Rite,Read Write
Read a little,Read
Can and write,Read Write
No read,Illiterate
Can read and wite,Read Write
Read and Right,Read Write
Not at school,Illiterate
Not r or write,Read Write
Cant reed,Illiterate
Read and writer,Read Write
Can read an rite,Read Write
Read o write,Read Write
Read write and c,Read Write
Cannot riad,Illiterate
No read or write,Illiterate
Read write etc,Read Write
Cannot and write,Illiterate
Reade rite,Read Write
Cannot read or wri,Illiterate
She read and write,Read Write
Cannot read are write,Illiterate
Yes Read and write,Read Write
Can only read,Read
Cant say,Unknown
Cannot Read and write,Illiterate
Read c write,Read Write
Reid only,Read
Reid and right,Read Write
Both Read and write,Read Write
Read and wrighte,Read Write
Reade only,Read
Reand and write,Read Write
Cannot read none,Illiterate
Can rite,Write
Red,Read
Reads writes,Read Write
Can write read,Read Write
Read and W,Read Write
Can reade,Read
Not reed,Illiterate
All read and write,Read Write
Cannot read o write,Illiterate
Read and wight,Read Write
Read an right,Read Write
Not read not write,Illiterate
Neather,Illiterate
Able to read and write,Read Write
Canot red,Illiterate
Can't read and write,Illiterate
Can read and c,Illiterate
Not read or w,Illiterate
Can read a rite,Read Write
Write and write,Read Write
Can red,Read
Canno read,Illiterate
Read and Wright,Read Write
Cannot r or r,Illiterate
Rede and write,Read Write
Not educated,Illiterate
Can write only,Write
Cannot read or wite,Illiterate
Neighter,Illiterate
Read and wrght,Read Write
Nothing,Illiterate
Cannot read or r,Illiterate
Canot r or w,Illiterate
Scholar read and write,Read Write
Read rit,Read Write
Wread write,Read Write
Redd write,Read Write
Cannot redd,Illiterate
Can read and wrt,Read Write
Infants,Illiterate
CanNot read or write,Illiterate
Reed and writ,Read Write
W r,Read Write
Attending School,Read Write
Can do neither,Illiterate
Not able to read,Illiterate
Read and writh,Read Write
Cannot reid or write,Illiterate
Niether,Illiterate
Red and writ,Read Write
Cant read or wright,Illiterate
Canot read or w,Illiterate
Cant read rite,Illiterate
Read and ritte,Read Write
Dont read,Illiterate
Cannot not,Illiterate
W read and write,Read Write
Not able,Illiterate
Read but not write,Read
Can read onely,Read
Cannot reed or write,Illiterate
Read and wrie,Read Write
Can Read write,Read Write
Can read cant write,Read
Not read nor rite,Illiterate
Read in write,Read Write
Cannot read scholar,Illiterate
Cant read or right,Illiterate
Cannot rede,Illiterate
Cannot do either,Illiterate
Rite,Write
Read and write only,Read Write
She can read,Read
Cannot read or wirte,Illiterate
Red only,Read
Can reid,Read
Canott read,Illiterate
C read only,Read
Canot r or write,Illiterate
Unk,Unknown
Cannot read and wrt,Illiterate
C read or write,Read Write
Cannot no read,Illiterate
Cannot read or wt,Illiterate
Illitrate,Illiterate
Connot read or write,Illiterate
School boy,Read Write
Can r and r,Read Write
Read nor rite,Illiterate
No Education,Illiterate
Canot reid,Illiterate
Cann read,Read
Can read and wri,Read Write
Wreed and write,Read Write
Can riad and write,Read Write
Can not read nor write,Illiterate
Scoller,Read Write
Read and c,Read Write
He can read write,Read Write
Cannot read and writ,Illiterate
Scolars,Read Write
Read and write a little,Read Write
Read wri,Read Write
Cannot read and right,Illiterate
Cannot write and read,Illiterate
Cannot read or Write,Illiterate
He can read,Read
Reid rite,Read Write
Yes both read and write,Read Write
Read and writt,Read Write
C not read,Illiterate
Yes r and w,Read Write
Can read nor write,Read
Cannot reade or write,Illiterate
Read and white,Read Write
Cannot read nor right,Illiterate
Can read but not write,Read
Red and right,Read Write
Can r and wright,Read Write
Read and write Scholar,Read Write
Rite read,Read Write
Cant read and rite,Illiterate
Going to School,Read Write
Cannot read no write,Illiterate
Cannot read writ,Illiterate
Schollars,Read Write
Rad write,Read Write
Read wr,Read Write
Both r and write,Read Write
Neither cannot read,Illiterate
Read and wit,Read Write
Nether,Illiterate
Neither r or w,Illiterate
R wright,Read Write
Read but cannot write,Read
Not reed or write,Illiterate
Can read r,Read Write
Schoolars,Read Write
Cannot read and write either,Illiterate
Riad,Read
Red rite,Read Write
Cannot red write,Illiterate
Riad write,Read Write
Cannot rd and write,Illiterate
R r,Read Write
Cannot reat,Illiterate
Cannot read infant,Illiterate
Cannot r or wr,Illiterate
Cannot read a write,Illiterate
Can read and write yes,Read Write
Canot not read,Illiterate
Scholar read,Read
Could read and write,Read Write
Reaid and write,Read Write
Cant write or read,Illiterate
Cant reed or rite,Illiterate
Rea write,Read Write
Redd,Read
Cant rd or write,Illiterate
Cannot write nor read,Illiterate
Uneducated,Illiterate
Fair,Read Write
Re write,Read Write
Read and write education,Read Write
Read and rrite,Read Write
She cannot read or write,Illiterate
Cannot write read,Illiterate
Read and righ,Read Write
Canot read or wright,Illiterate
Read r,Read Write
Education,Read Write
R only,Read
Right and read,Read Write
Non,Illiterate
Read an wright,Read Write
Neither read write,Illiterate
Read and r write,Read Write
Cannot read and wright,Illiterate
Read and wirte,Read Write
Read and cannot write,Read
Cannot read wr,Illiterate
Read and Writ,Read Write
Read and rigt,Read Write
Canot r w,Illiterate
Unable to read or write,Illiterate
Yes Both,Read Write
Cannot read right,Illiterate
Read and write yes both,Read Write
Can r or w,Read Write
Can r or write,Read Write
Cannont read,Illiterate
Cannot read and wr,Illiterate
Can reid and rite,Read Write
Both r w,Read Write
Can red write,Read Write
R and wright,Read Write
Read and wrig,Read Write
Read only cannot write,Read
Read writh,Read Write
Reads write,Read Write
Read a right,Read Write
Can read wri,Read Write
Canot read rite,Illiterate
Read and wrtie,Read Write
Canot read nor rite,Illiterate
Can redd and write,Read
Cannott read nor write,Illiterate
Nither,Illiterate
Cannot wright,Read
Read no,Illiterate
Rread,Read
Good,Read Write
Cant reid,Illiterate
Reard and write,Read Write
Can reed only,Read
Canot reed or write,Illiterate
Cnt read or write,Illiterate
Can Read Only,Read
I can read and write,Read Write
Cnot read or write,Illiterate
R and right,Read Write
R and Write,Read Write
Iliterate,Illiterate
Cannot read of write,Illiterate
Read and write braille,Read Write
Both can read and write,Read Write
Cannot read and wrte,Illiterate
N read or write,Illiterate
Can read and wrigt,Read Write
Read and writee,Read Write
Cannot rd or w,Illiterate
She can read write,Read Write
Read scholar,Read
Read or right,Read Write
R and writ,Read Write
Neither read or rite,Illiterate
Educated read and write,Read Write
Not yet,Illiterate
R cannot read,Illiterate
Not red or write,Illiterate
Cannon read,Illiterate
Can not write,Read
Read wrigh,Read Write
Read wrigt,Read Write
Read r write,Read Write
Read and rites,Read Write
Schooler,Read Write
Cant r w,Illiterate
Cannot read and,Illiterate
Rea writ,Read Write
Cant rd or wrt,Illiterate
Reod and write,Read Write
Cannot read illiterate,Illiterate
Read write and cypher,Read Write
Cnot read,Illiterate
Read ad write,Read Write
Reaid write,Read Write
Connot red,Illiterate
R rite,Read Write
Read and write Yes,Read Write
Can wread and write,Read Write
English read and write,Read Write
Illeterate,Illiterate
Red and wite,Read Write
Cannot R or W,Illiterate
Can Read and Rite,Read Write
Do both,Read Write
Read and we,Read Write
Red and wright,Read Write
Rede write,Read Write
Can read on write,Read Write
Reed an write,Read Write
Cant read nor wr,Illiterate
Sholar,Read Write
Read an writ,Read Write
Canot r write,Illiterate
Read write yes,Read Write
Canot reade,Illiterate
Can neither,Illiterate
Cant read or wrte,Illiterate
Read and wt,Read Write
Cant read or writ,Illiterate
Cannot write cannot read,Illiterate
Can reaad and write,Read Write
Can rite and read,Read Write
Reat and write,Read Write
Cann read and write,Read Write
Rea,Read
Read an w,Read Write
Can r and rite,Read Write
Canott read or write,Illiterate
Read a wright,Read Write
W read,Read Write
Reede and write,Read Write
Schlor,Read Write
Cant rite,Read
Cannot reed or rite,Illiterate
Cant reed or write,Illiterate
C read and rite,Read Write
Cant read w,Illiterate
Read not wright,Read
Can all read and write,Read Write
Cannot read and r,Illiterate
Read and write etc,Read Write
Read writte,Read Write
School Boy,Read Write
She cannot read,Illiterate
Read and ?,Read Write
Cant read nor right,Illiterate
Rede rite,Read Write
Reed or rite,Read Write
C read and w,Read Write
Ried and write,Read Write
Can rd and wr,Read Write
Can read and write both,Read Write
Can read wrte,Read Write
Cannot neither,Illiterate
Know,Illiterate
Read a w,Read Write
Cant read or wr,Illiterate
Neather read or write,Illiterate
Can read and rigt,Read Write
R and wr,Read Write
Scholor,Read Write
Read - write,Read Write
Not read rite,Illiterate
Read yes write,Read Write
Reard write,Read Write
Cannot read or wte,Illiterate
Cannott read and write,Illiterate
Yes read and rite,Read Write
Cant read are write,Illiterate
No Scholar,Read Write
Cannot red and write,Illiterate
Read and rig,Read Write
School Girl,Read Write
Cant red,Illiterate
Cannot read or rit,Illiterate
Cannot read nor,Illiterate
Can reade write,Read Write
Cannot rd nor write,Illiterate
Not going to school,Illiterate
Can red and rite,Read Write
Can read wite,Read Write
Can red rite,Read Write
Reaad only,Read
Cannot read wright,Illiterate
r and write,Read Write
Bothe,Read Write
Cand read and write,Read Write
Cannot rad or write,Illiterate
Read ad rite,Read Write
Can reed rite,Read Write
Do read and write,Read Write
Can not read and write,Illiterate
Reed writ,Read Write
Read on rite,Read Write
Not r w,Illiterate
Cannot red or w,Illiterate
Read and write Both,Read Write
Can wright,Write
Read and warite,Read Write
No cannot,Illiterate
Cannot read yet,Illiterate
French only,Read Write
Read can,Read
R and yes w,Read Write
Cannot read r,Illiterate
Bouth,Read Write
Read or w,Read Write
Read and wrile,Read Write
Cannot wread,Illiterate
C not read or write,Illiterate
Read and rwrite,Read Write
Can read a r,Read Write
Rread and rite,Read Write
Read onl,Read
CanNot read and write,Illiterate
Can not read or rite,Illiterate
Can read and wirte,Read Write
Cannot w or r,Illiterate
Cannot reads,Illiterate
Rede and rite,Read Write
Read and rigte,Read Write
Reed and wrte,Read Write
Cannot red or rite,Illiterate
C read nor write,Illiterate
No cannot read or write,Illiterate
Cant read only,Illiterate
School girl,Read Write
He cannot,Illiterate
Cannot rite or read,Illiterate
R a write,Read Write
Neither r nor w,Illiterate
Cannot only,Illiterate
Can write can read,Read Write
R right,Read Write
Can read wrt,Read Write
Can Read only,Read
Can read and cannot write,Read
Read of write,Read Write
Rred write,Read Write
Dont read or rite,Illiterate
He cannot read or write,Illiterate
Cannot r or rite,Illiterate
He can read and rite,Read Write
Cannot write can read,Illiterate
Cannot reed nor write,Illiterate
Not write or read,Illiterate
Dont read write,Illiterate
Does not read or write,Illiterate
Cant either,Illiterate
Can right,Write
Cant r and w,Illiterate
Not read not rite,Illiterate
Reader writer,Read Write
Reade and right,Read Write
I can,Read Write
Cannot read nor wright,Illiterate
Cant read nor wright,Illiterate
Cannot re or write,Illiterate
Con read,Read
Canot read or wrte,Illiterate
Read and wrete,Read Write
read and write,Read Write
Scholar cannot read,Read
Read rite etc,Read Write
Can read not rite,Read
Cannot read nor wrte,Illiterate
Ca read and write,Read Write
Reed and writh,Read Write
Not read w,Illiterate
Not read or wr,Illiterate
Cannot r or writ,Illiterate
Read and wrigte,Read Write
Cannot reod,Illiterate
A little,Read Write
Cant read or rit,Illiterate
Can't write,Illiterate
Can read but cannot write,Read
Yess read and write,Read Write
Do not read or write,Illiterate
Neather read nor write,Illiterate
Reade and wright,Read Write
Cant read or wrt,Illiterate
No read nor write,Illiterate
Rite and write,Read Write
? and write,Read Write
Can r,Read
Rid and write,Read Write
Write and rd,Read Write
Fully educated,Read Write
Cannot r r,Illiterate
Children,Illiterate
Dont read and write,Illiterate
Read d write,Read Write
Read writer,Read Write
Cannot reid or rite,Illiterate
Rred and write,Read Write
Reead write,Read Write
Cannot Either,Illiterate
Read little,Read
Re and rite,Read Write
Cnnot read,Illiterate
Canot red or write,Illiterate
Yes r w,Read Write
Rite reed,Read Write
Cannot read or wre,Illiterate
Reaad write,Read Write
Reading and writing,Read Write
Can read and wte,Read Write
Can r a r,Read Write
Write and Read,Read Write
Rd wrt,Read Write
Read read,Read Write
Not rite,Read
Can and read,Read Write
Read or wright,Read Write
Cant reed nor writ,Illiterate
Cannot read wrte,Illiterate
Reads wright,Read Write
W and r,Read Write
Read writee,Read Write
Scholler,Read Write
To young,Illiterate
Cant red or write,Illiterate
Dont know,Unknown
He cannot read,Illiterate
Reed onely,Read
Reaid and rite,Read Write
Cannot read wrt,Illiterate
Cannot writ,Read
Scholer,Read Write
R,Read
Read a wr,Read Write
Can read and rit,Read Write
W and read,Read Write
Canot read or writ,Illiterate
Riad wirte,Read Write
Read and not rite,Read
Could read,Read
Neighter read nor write,Illiterate
Write and r,Read Write
Booth,Read Write
Cannot read etc,Illiterate
Fairly educated,Read Write
Can rd a write,Read Write
Can red only,Read
Can re and wr,Read Write
Yes read,Read
Read wight,Read Write
Can Read Write,Read Write
Ride and rite,Read Write
Canont read,Illiterate
Cannnot read,Illiterate
Read yes and write,Read Write
Canot read and rite,Illiterate
Read a rit,Read Write
Read canot write,Read
Read and ri,Read Write
write,Write
No Cannot read,Illiterate
Cnt read,Illiterate
Read righ,Read Write
Can read rit,Read Write
Not r write,Illiterate
Read at write,Read Write
Ree and write,Read Write
Neither can read or write,Illiterate
Spell,Unknown
English educated,Read Write
Read and write at school,Read Write
No read and write,Illiterate
Writ read,Read Write
Read both write,Read Write
Can rd and w,Read Write
Too Young,Illiterate
Read and wriete,Read Write
C r,Read
Red and wrte,Read Write
Read W,Read Write
Neither read,Illiterate
Not Read,Illiterate
Cholar,Read Write
Not read and rite,Illiterate
Canot r,Illiterate
Cannot read or wrigt,Illiterate
Write-r,Read Write
Can read and wt,Read Write
Cannot nor write,Illiterate
Read whrite,Read Write
Going school,Read Write
Read and write scholars,Read Write
Read and writie,Read Write
Cannot rd write,Illiterate
English education,Read Write
Re,Read
Riad only,Read
Not read nor w,Illiterate
Rede wright,Read Write
Can write and read well,Read Write
Reader and writer,Read Write
Reading,Read
Cannot read nor wr,Illiterate
Both r write,Read Write
Red a write,Read Write
Cannot wread or write,Illiterate
Cannot Rd,Illiterate
Nill cannot read,Illiterate
Under age,Illiterate
Can w and write,Read Write
Reead rite,Read Write
Cannot reead,Illiterate
Reading writing,Read Write
Reid an right,Read Write
R yes w,Read Write
Both read rite,Read Write
Cannot right,Read
Read and wrthe,Read Write
Cant do either,Illiterate
Read write both,Read Write
Neighter read or write,Illiterate
Rand and write,Read Write
To Young,Illiterate
Wread and rite,Read Write
Neither r or write,Illiterate
Neither r w,Illiterate
Conot read,Illiterate
No neither,Illiterate
Read wrigte,Read Write
Write and reid,Read Write
Connot reod,Illiterate
Canot read or wr,Illiterate
Read wirte,Read Write
Yes write,Read Write
Rad and rite,Read Write
Reid and ritt,Read Write
Both rd and write,Read Write
Readd and write,Read Write
Read and write boath,Read Write
Redd and rite,Read Write
Read and writi,Read Write
Cannot read Infant,Illiterate
Red rit,Read Write
Cannot read nil,Illiterate
No No,Illiterate
Dont read nor write,Illiterate
Cannot re or w,Illiterate
Read and write can do both,Read Write
Can read a w,Read Write
None cannot read,Illiterate
Can read or right,Read Write
C r and write,Read Write
Cant wright,Read
Reat write,Read Write
Read and kite,Read Write
Canott,Illiterate
Cant read cant write,Illiterate
Can read or wright,Read Write
Cant r write,Illiterate
Not reade,Illiterate
Reede and rite,Read Write
R-write,Read Write
Cannot read at school,Read Write
Can riad write,Read Write
Cannot read an write,Illiterate
Can reed onely,Read
Cann read write,Read Write
No read or w,Illiterate
Can read and ri,Read Write
Rear and write,Read Write
Read etc write,Read Write
Can read and write only,Read Write
Cannot either read or write,Illiterate
Cant Read or Write,Illiterate
Rede,Read
Reide and wright,Read Write
I write and r,Read Write
Cannot write read only,Read
Read and write booth,Read Write
Not red,Illiterate
Cant read or,Illiterate
Read and write c/c,Read Write
Yes ?,Read Write
Read v write,Read Write
Reades and writes,Read Write
R-w,Read Write
Not read nor right,Illiterate
