A,Submarine,Amphion
Abdiel,Minelayer,Abdiel
Abnaki,Fleet Tug,Abnaki
Accentor,Minesweeper,Accentor
Active,Patrol Vessel,Active
Activity,Escort Carrier,Activity
Admirable,Minesweeper,Admirable
Admiralty V & W,Destroyer,Valentine
Adroit,Minesweeper,Adroit
Adventure,Minelayer,Adventure
Aegir,Submarine Tender,Aegir
Ailanthus,Net Tender,Ailanthus
Alaska,Large Cruiser,Alaska
Algerine,Minesweeper,Algerine
Algonquin,Cutter,Algonquin
Allen M. Sumner,Destroyer,Allen M. Sumner
Alliance,Tug,Alliance
Alligator,Tug,Alligator
Aloe,Net Tender,Aloe
Altair,Destroyer Tender,Altair
Ameer,Escort Carrier,Ameer
Amphion,Repair Ship,Amphion
Anchor,Salvage Vessel,Anchor
Arethusa,Light Cruiser,Arethusa
Argo,Patrol Vessel,Argo
Argonaut,Submarine,Argonaut
Argus,Aircraft Carrier,Argus
Ark Royal,Aircraft Carrier,Ark Royal
Asheville,Gunboat,Asheville
Ashland,Dock Landing Ship,Ashland
Assistance,Repair Ship,Assistance
Assurance,Rescue Tug,Assurance
Ashtabula,Oiler,Ashtabula
Atlanta,Anti-aircraft Cruiser,Atlanta
Attacker,Escort Carrier,Attacker
Audacity,Escort Carrier,Audacity
Auk,Minesweeper,Auk
Bachaquero,Tank Landing Ship,Bachaquero
Bagaduce,Fleet Tug,Bagaduce
Bagley,Destroyer,Bagley
Balao,Submarine,Balao
Baltimore,Heavy Cruiser,Baltimore
Banff,Sloop,Banff
Bangor,Minesweeper,Bangor
Barracuda,Submarine,Barracuda
Barnegat,Seaplane Tender,Barnegat
Basset,Ms Trawler,Basset
Bathurst,Minesweeper,Bathurst
Beachy Head,Repair Ship,Beachy Head
Belfast,Light Cruiser,Belfast
Bellona,Light Cruiser,Bellona
Benham,Destroyer,Benham
Bittern,Sloop,Bittern
Black Swan,Sloop,Black Swan
Bogue,Escort Carrier,Bogue
Bolster,Salvage Vessel,Bolster
Bridgewater,Sloop,Bridgewater
Brigand,Rescue Tug,Brigand
Bristol,Destroyer,Bristol
Brooklyn,Light Cruiser,Brooklyn
Buckley,Destroyer Escort,Buckley
Bustler,Rescue Tug,Bustler
Busy,Tug,Busy
Cachalot,Submarine,Cachalot
Caledon,Light Cruiser,Caledon
Campania,Escort Carrier,Campania
Cannon,Destroyer Escort,Cannon
Captain,Frigate,Bayntun
Carlisle,Light Cruiser,Carlisle
Casablanca,Escort Carrier,Casablanca
Casa Grande,Dock Landing Ship,Casa Grande
Castle,Corvette,Hadleigh Castle
Catskill,Vehicle Landing Ship,Catskill
Ceres,Light Cruiser,Ceres
Chanticleer,Submarine Rescue Vessel,Chanticleer
Chicopee,Oiler,Chicopee
Chiwawa,Oiler,Chiwawa
Cimarron,Oiler,Cimarron
Clemson,Destroyer,Clemson
Cleveland,Light Cruiser,Cleveland
Cohoes,Net Tender,Cohoes
Colorado,Battleship,Colorado
Colossus,Aircraft Carrier,Colossus
Commencement Bay,Escort Carrier,Commencement Bay
Cornwallis,Sloop,Cornwallis
Courageous,Aircraft Carrier,Courageous
Crosley,High Speed Transport,Crosley
Currituck,Seaplane Tender,Currituck
Curtiss,Seaplane Tender,Curtiss
Delta,Repair Ship,Delta
Dido,Light Cruiser,Dido
Dixie,Destroyer Tender,Dixie
Director,Rescue Tug,Director
Dispenser,Salvage Vessel,Dispenser
Diver,Salvage Vessel,Diver
Dobbin,Destroyer Tender,Dobbin
Dolphin,Submarine,Dolphin
Dorsetshire,Heavy Cruiser,Dorsetshire
Dragonfly,River Gunboat,Dragonfly
Dubuque,Gunboat,Dubuque
Dunnet,Boom Defence Vessel,Dunnet
Eagle,Aircraft Carrier,Eagle
Edsall,Destroyer Escort,Edsall
Egret,Sloop,Egret
Envoy,Rescue Tug,Envoy
Erebus,Monitor,Erebus
Erie,Gunboat,Erie
Escambia,Oiler,Escambia
Essex,Aircraft Carrier,Essex
Evarts,Destroyer Escort,Evarts
Falcon,River Gunboat,Falcon
Falmouth,Sloop,Falmouth
Farragut,Destroyer,Farragut
Favourite,Rescue Tug,Favourite
Fiji,Light Cruiser,Fiji
Fletcher,Destroyer,Fletcher
Flower,Corvette,Gladiolus
Folkestone,Sloop,Folkestone
Fulton,Submarine Tender,Fulton
Fundy,Minesweeper,Fundy
Furious,Aircraft Carrier,Furious
Gar,Submarine,Gar
Gato,Submarine,Gato
Gearing,Destroyer,Gearing
Gloucester,Light Cruiser,Gloucester
Gridley,Destroyer,Gridley
Griffin,Submarine Tender,Griffin
Grimsby,Sloop,Grimsby
Guardian,Netlayer,Guardian
Haida,Cutter,Haida
Halcyon,Minesweeper,Halcyon
Hamul,Destroyer Tender,Hamul
Havant,Destroyer,Havant
Hecla,Destroyer Depot Ship,Hecla
Hermes,Aircraft Carrier,Hermes
Illustrious,Aircraft Carrier,Illustrious
Implacable,Aircraft Carrier,Implacable
Impetus,Tug,Impetus
Independence,Light Fleet Carrier,Independence
Indomitable,Aircraft Carrier,Indomitable
Iowa,Battleship,Iowa
John C. Butler,Destroyer Escort,John C. Butler
Kaweah,Oiler,Kaweah
Kanawha,Oiler,Kanawha
Kennebec,Oiler,Kennebec
Kenneth Whiting,Seaplane Tender,Kenneth Whiting
Kent,Heavy Cruiser,Kent
King George V,Battleship,King George V
King Salvor,Salvage Vessel,King Salvor
Kingfisher,Patrol Vessel,Kingfisher
Kiwi,Ms Trawler,Kiwi
Klondike,Destroyer Tender,Klondike
Laertes,Repair Ship,Laertes
La Melpoméne,Torpedo Boat,La Melpoméne
Lal,Patrol Vessel,Lal
Lapwing,Minesweeper,Lapwing
Leander,Light Cruiser,Leander
Lexington,Aircraft Carrier,Lexington
Llewellyn,Minesweeper,Llewellyn
Linnet,Minelayer,Linnet
London,Heavy Cruiser,London
Luzon,River Gunboat,Luzon
Mackerel,Submarine,Mackerel
Mahan,Destroyer,Mahan
Maidstone,Submarine Depot Ship,Maidstone
Manuka,Ms Trawler,Manuka
Mattaponi,Oiler,Mattaponi
Midway,Aircraft Carrier,Midway
Minotaur,Light Cruiser,Minotaur
Moor,Mooring Vessel,Moor
Moorburn,Mooring Vessel,Moorburn
Moorgate,Barrage / Gate Vessel,Moorgate
Moray Firth,Repair Ship,Moray Firth
Nairana,Escort Carrier,Nairana
Narwhal,Submarine,Narwhal
Navajo,Fleet Tug,Navajo
Nelson,Battleship,Nelson
Nevada,Battleship,Nevada
New Mexico,Battleship,New Mexico
New Orleans,Heavy Cruiser,New Orleans
New York,Battleship,New York
Nimble,Rescue Tug,Nimble
North Carolina,Battleship,North Carolina
Northampton,Heavy Cruiser,Northampton
Oakland,Anti-aircraft Cruiser,Oakland
Omaha,Light Cruiser,Omaha
Osage,Vehicle Landing Ship,Osage
Owasco,Cutter,Owasco
Parkgate,Barrage / Gate Vessel,Parkgate
Patoka,Oiler,Patoka
Penguin,Submarine Rescue Vessel,Penguin
Pennsylvania,Battleship,Pennsylvania
Pensacola,Heavy Cruiser,Pensacola
Perch,Submarine,Perch
Perth,Light Cruiser,Perth
Peterel,River Gunboat,Peterel
Plover,Minelayer,Plover
Porpoise,Submarine,Porpoise
Porter,Destroyer,Porter
Portland,Heavy Cruiser,Portland
Pre,Boom Defence Vessel,Prefect
Pretoria Castle,Escort Carrier,Pretoria Castle
Protector,Netlayer,Protector
Queen Elizabeth,Battleship,Queen Elizabeth
Ranger,Aircraft Carrier,Ranger
Raven,Minesweeper,Raven
Renown,Battlecruiser,Renown
River,Frigate,Rother
Roberts,Monitor,Roberts
Robin,River Gunboat,Robin
Robust,Tug,Robust
Rollicker,Rescue Tug,Rollicker
Royal Sovereign,Battleship,Royal Sovereign
Rudderow,Destroyer Escort,Rudderow
S,Submarine,Swordfish
Sacramento,Gunboat,Sacramento
Salmon,Submarine,Salmon
Sandpiper,River Gunboat,Sandpiper
Sangamon,Escort Carrier,Sangamon
Sargo,Submarine,Sargo
Scorpion,River Gunboat,Scorpion
Shark,Submarine,Shark
Shenandoah,Destroyer Tender,Shenandoah
Shoreham,Sloop,Shoreham
Sims,Destroyer,Sims
Somers,Destroyer,Somers
Sonoma,Fleet Tug,Sonoma
Southampton,Light Cruiser,Southampton
South Dakota,Battleship,South Dakota
St. Louis,Light Cruiser,St. Louis
Suamico,Oiler,Suamico
T,Submarine,Triton
Tacoma,Frigate,Tacoma
Tambor,Submarine,Tambor
Tangier,Seaplane Tender,Tangier
Tasajera,Tank Landing Ship,Tasajera
Tern,River Gunboat,Tern
Tench,Submarine,Tench
Tennessee,Battleship,Tennessee
Tribal,Destroyer,Afridi
U,Submarine,Undine
Unicorn,Aircraft Carrier,Unicorn
Vulcan,Repair Ship,Vulcan
Wake,River Gunboat,Wake
Wasp,Aircraft Carrier,Wasp
Wichita,Heavy Cruiser,Wichita
Wickes,Destroyer,Wickes
Wyoming,Battleship,Wyoming
York,Heavy Cruiser,York
Yorktown,Aircraft Carrier,Yorktown