name,gender,NI_AppRank
JONATHAN,M,basic
JONATHON,M,uncommon
JONI,F,rare
JONJO,M,rare
JONNY,M,rare
JORDAN,M,basic
JORDAN,F,uncommon
JORDON,M,uncommon
JORDYN,F,rare
JORGIA,F,rare
JORGIE,F,rare
JORIS,M,rare
JORJA,F,common
JOSE,M,rare
JOSEF,M,rare
JOSEPH,M,basic
JOSEPHINE,F,common
JOSH,M,basic
JOSHUA,M,basic
JOSIAH,M,uncommon
JOSIE,F,uncommon
JOSS,M,rare
JOY,F,common
JUDAH,M,rare
JUDE,M,basic
JUDE,F,uncommon
JUDITH,F,uncommon
JUDY,F,rare
JULIA,F,basic
JULIAN,M,rare
JULIANA,F,rare
JULIANNA,F,rare
JULIE,F,common
JULIET,F,rare
JULIETTE,F,uncommon
JUN,M,rare
JUNIOR,M,common
JUNO,F,rare
JUSTIN,M,basic
JUSTINAS,M,rare
JUSTINE,F,rare
KACEY,F,common
KACI,F,common
KACIE,F,uncommon
KACPER,M,common
KADE,M,rare
KADEN,M,uncommon
KADIE,F,rare
KADY,F,rare
KADYN,M,rare
KAELA,F,rare
KAELAH,F,rare
KAELUM,M,rare
KAI,M,basic
KAIA,F,rare
KAIDEN,M,uncommon
KAILA,F,rare
KAILEIGH,F,rare
KAILEY,F,rare
KAIN,M,uncommon
KAITLIN,F,basic
KAITLYN,F,basic
KAITLYNN,F,rare
KAIYA,F,rare
KAJA,F,rare
KAJUS,M,uncommon
KALEB,M,uncommon
KALEM,M,rare
KALI,F,rare
KALLIE,F,rare
KALLUM,M,rare
KALUM,M,rare
KALVIN,M,rare
KAMIL,M,rare
KAMILE,F,uncommon
KANE,M,common
KARA,F,basic
KAREN,F,common
KARINA,F,uncommon
KARIS,F,uncommon
KARL,M,basic
KARLA,F,common
KARLEY,F,rare
KARLIE,F,rare
KARLY,F,rare
KAROL,M,uncommon
KAROLINA,F,common
KARSON,M,rare
KARTER,M,rare
KARYS,F,rare
KASEY,F,uncommon
KASON,M,rare
KASSIE,F,rare
KATARZYNA,F,rare
KATE,F,basic
KATELIN,F,rare
KATELYN,F,basic
KATELYNN,F,rare
KATHARINE,F,rare
KATHERINE,F,basic
KATHLEEN,F,basic
KATHRYN,F,basic
KATHY,F,rare
KATIE,F,basic
KATLYN,F,uncommon
KATRINA,F,uncommon
KATY,F,basic
KAYA,F,rare
KAYCEE,F,rare
KAYDEN,M,uncommon
KAYDEN,F,rare
KAYLA,F,basic
KAYLAH,F,rare
KAYLEB,M,rare
KAYLEE,F,uncommon
KAYLEIGH,F,basic
KAYLEY,F,rare
KAYNE,M,rare
KAYTLIN,F,rare
KEAGAN,M,rare
KEALAN,M,common
KEALEIGH,F,rare
KEANE,M,rare
KEATON,M,rare
KEEGAN,M,uncommon
KEELA,F,uncommon
KEELAN,M,basic
KEELEY,F,common
KEELIN,M,uncommon
KEELY,F,common
KEENAN,M,uncommon
KEEVA,F,basic
KEEVAN,M,rare
KEILA,F,rare
KEIRA,F,common
KEISHA,F,uncommon
KEITH,M,common
KEL,M,rare
KELAN,M,uncommon
KELIS,F,rare
KELLIE,F,common
KELLY,F,common
KELSEY,F,basic
KELSI,F,rare
KELSIE,F,common
KELVIN,M,uncommon
KENDALL,F,rare
KENDRA,F,uncommon
KENNEDY,F,rare
KENNETH,M,uncommon
KENT,M,rare
KENZI,F,rare
KENZIE,M,common
KENZIE,F,uncommon
KERI,F,uncommon
KERRI,F,common
KERRIE,F,common
KERRY,F,basic
KEVIN,M,basic
KEVINAS,M,rare
KEZIA,F,uncommon
KEZIAH,F,rare
KHALEESI,F,rare
KHLOE,F,uncommon
KIAH,F,rare
KIAN,M,common
KIANA,F,rare
KIANNA,F,rare
KIARA,F,rare
KIERA,F,common
KIERAN,M,basic
KIERNAN,M,rare
KIERON,M,uncommon
KIERSHA,F,rare
KIESHA,F,rare
KIEVA,F,rare
KILLIAN,M,basic
KIM,F,uncommon
KIMBERLEY,F,uncommon
KIMBERLY,F,uncommon
KINGA,F,rare
KINGSLEY,M,rare
KINGSTON,M,rare
KIRA,F,rare
KIRBY,F,rare
KIRK,M,uncommon
KIRSTEN,F,common
KIRSTIE,F,uncommon
KIRSTIN,F,rare
KIRSTY,F,common
KIRSTYN,F,rare
KITTY,F,uncommon
KLARA,F,uncommon
KLAUDIA,F,uncommon
KOBE,M,rare
KOBI,M,rare
KOBY,M,rare
KODI,M,rare
KODI,F,rare
KODIE,M,rare
KODIE,F,rare
KODY,M,uncommon
KOLBY,M,rare
KOLE,M,rare
KOLTON,M,rare
KONRAD,M,rare
KORA,F,rare
KORBEN,M,rare
KOREY,M,uncommon
KORI,M,rare
KORI,F,rare
KORNELIA,F,rare
KOURTNEY,F,rare
KRIS,M,uncommon
KRISTEN,F,uncommon
KRISTIAN,M,basic
KRISTIN,F,uncommon
KRISTINA,F,uncommon
KRISTOPHER,M,uncommon
KRISTUPAS,M,rare
KRYSTAL,F,rare
KRYSTIAN,M,rare
KRZYSZTOF,M,rare
KSAWERY,M,rare
KUBA,M,rare
KURT,M,rare
KURTIS,M,common
KYAN,M,rare
KYE,M,rare
KYLA,F,common
KYLAN,M,rare
KYLE,M,basic
KYLIE,F,rare
KYM,F,rare
KYNA,F,rare
KYRA,F,common
KYRAN,M,uncommon
KYRON,M,rare
LACEY,F,common
LACHLAN,M,uncommon
LACI,F,rare
LACIE,F,uncommon
LAILA,F,uncommon
LAINEY,F,rare
LANA,F,basic
LAOISE,F,common
LARA,F,basic
LARAGH,F,rare
LARISSA,F,uncommon
LARKIN,M,rare
LAUGHLIN,M,rare
LAURA,F,basic
LAUREEN,F,rare
LAUREN,F,basic
LAURENCE,M,rare
LAURIE,F,uncommon
LAURYN,F,common
LAVINIA,F,rare
LAWRENCE,M,rare
LAWSON,M,rare
LAYLA,F,common
LAYTON,M,rare
LEA,F,uncommon
LEAH,F,basic
LEANN,F,rare
LEANNA,F,rare
LEANNE,F,common
LEE,M,basic
LEIA,F,uncommon
LEIGH,M,rare
LEIGH,F,uncommon
LEIGHA,F,common
LEIGHTON,M,uncommon
LEILA,F,uncommon
LEILANI,F,rare
LEJA,F,rare
LELAND,M,rare
LENA,F,common
LENNON,M,common
LENNOX,M,uncommon
LEO,M,basic
LEON,M,basic
LEONA,F,basic
LEONARDO,M,rare
LEONI,F,rare
LEONIE,F,rare
LESLEY,F,rare
LETITIA,F,rare
LEVI,M,common
LEVI,F,rare
LEWIS,M,basic
LEXI,F,uncommon
LEXIE,F,common
LEYLA,F,rare
LEYTON,M,rare
LIA,F,rare
LIAM,M,basic
LIANA,F,rare
LIBBY,F,common
LIBERTY,F,rare
LIEPA,F,rare
LILA,F,uncommon
LILAH,F,rare
LILI,F,rare
LILIA,F,rare
LILIANA,F,uncommon
LILIANNA,F,rare
LILLI,F,rare
LILLIANNA,F,rare
LILLIE,F,common
LILLY,F,common
LILY,F,basic
LILYANNA,F,rare
LINCOLN,M,uncommon
LINDA,F,rare
LINDSAY,F,rare
LINDSEY,F,rare
LINZI,F,rare
LISA,F,common
LIVIA,F,rare
LLOYD,M,uncommon
LOCHLAINN,M,uncommon
LOCHLAN,M,rare
LOCHLANN,M,uncommon
LOGAN,M,basic
LOGAN,F,rare
LOGHAN,M,rare
LOIS,F,basic
LOLA,F,common
LORCAN,M,basic
LORELAI,F,rare
LOREN,F,rare
LORENZO,M,rare
LORI,F,uncommon
LORNA,F,uncommon
LORRAINE,F,rare
LOTTI,F,rare
LOTTIE,F,uncommon
LOUIE,M,common
LOUIS,M,basic
LOUISA,F,common
LOUISE,F,basic
LUAN,M,rare
LUC,M,rare
LUCA,M,common
LUCAS,M,basic
LUCCA,M,rare
LUCI,F,rare
LUCIA,F,basic
LUCIE,F,basic
LUCINDA,F,rare
LUCY,F,basic
LUGHAIDH,M,rare
LUIS,M,uncommon
LUISA,F,rare
LUKA,M,uncommon
LUKA,F,rare
LUKAS,M,common
LUKE,M,basic
LUNA,F,rare
LYDIA,F,basic
LYLA,F,uncommon
LYLE,M,rare
LYNDA,F,rare
LYNDON,M,rare
LYNDSAY,F,rare
LYNDSEY,F,uncommon
LYNN,F,rare
LYNSEY,F,rare
LYRA,F,rare
MABEL,F,rare
MACAULAY,M,rare
MACAULEY,M,rare
MACEY,F,uncommon
MACI,F,uncommon
MACIE,F,uncommon
MACIEJ,M,rare
MACKENZIE,M,common
MACKENZIE,F,uncommon
MACY,F,common
MADDIE,F,common
MADDISON,F,common
MADDOX,M,rare
MADDY,F,rare
MADELEINE,F,common
MADELINE,F,uncommon
MADELYN,F,rare
MADISON,F,basic
MADISSON,F,rare
MAE,F,rare
MAEBH,F,common
MAEVE,F,basic
MAGDALENA,F,rare
MAGGIE,F,common
MAGNUS,M,rare
MAIA,F,basic
MAIRE,F,rare
MAIREAD,F,basic
MAIRTIN,M,rare
MAISEY,F,rare
MAISIE,F,common
MAISON,M,rare
MAISY,F,common
MAITIU,M,rare
MAIYA,F,rare
MAIZIE,F,rare
MAJA,F,common
MAJELLA,F,rare
MAKAYLA,F,rare
MAKENZIE,M,rare
MAKENZIE,F,rare
MAKSIM,M,rare
MAKSYMILIAN,M,uncommon
MALACHI,M,uncommon
MALACHY,M,basic
MALCOLM,M,rare
MALIA,F,rare
MALLAIDH,F,rare
MANI,M,rare
MANTAS,M,rare
MANUS,M,common
MARC,M,basic
MARCEL,M,uncommon
MARCO,M,rare
MARCUS,M,basic
MARCY,F,rare
MARGARET,F,basic
MARIA,F,basic
MARIAH,F,rare
MARIANNA,F,rare
MARIANNE,F,uncommon
MARIE,F,common
MARILYN,F,rare
MARINA,F,rare
MARISSA,F,uncommon
MARK,M,basic
MARKAS,M,rare
MARKUS,M,rare
MARKUSS,M,rare
MARLEY,M,rare
MARLEY,F,rare
MARNIE,F,rare
MARSHALL,M,uncommon
MARTA,F,rare
MARTHA,F,basic
MARTIN,M,basic
MARTINA,F,uncommon
MARTINE,F,rare
MARTYN,M,rare
MARTYNA,F,uncommon
MARTYNAS,M,rare
MARY,F,basic
MARYAM,F,rare
MARYKATE,F,rare
MASON,M,basic
MATAS,M,common
MATEJ,M,rare
MATEUSZ,M,uncommon
MATHEW,M,uncommon
MATHIEU,M,rare
MATILDA,F,common
MATT,M,uncommon
MATTEO,M,rare
MATTHEW,M,basic
MAURA,F,rare
MAUREEN,F,rare
MAURICE,M,rare
MAX,M,basic
MAXIM,M,rare
MAXIMILIAN,M,uncommon
MAXWELL,M,uncommon
MAY,F,rare
MAYA,F,common
MAYAH,F,rare
MAZIE,F,rare
MCKENZIE,M,uncommon
MCKENZIE,F,rare
MEA,F,rare
MEABH,F,basic
MEADBH,F,rare
MEADHBH,F,uncommon
MEADOW,F,rare
MEAGAN,F,rare
MEAGHAN,F,uncommon
MEAH,F,rare
MEG,F,uncommon
MEGAN,F,basic
MEGHAN,F,basic
MEIA,F,rare
MEIBH,F,rare
MELANIE,F,common
MELANIJA,F,rare
MELISSA,F,basic
MELODY,F,rare
MIA,F,basic
MIAH,F,rare
MICAH,M,common
MICEAL,M,common
MICHAEL,M,basic
MICHAELA,F,basic
MICHAL,M,uncommon
MICHEAL,M,basic
MICHEALA,F,rare
MICHELLE,F,common
MIKAELA,F,rare
MIKAYLA,F,rare
MIKEY,M,uncommon
MIKOLAJ,M,uncommon
MILA,F,uncommon
MILAH,F,rare
MILANA,F,uncommon
MILENA,F,rare
MILES,M,rare
MILEY,F,uncommon
MILLIE,F,common
MILLY,F,rare
MILO,M,uncommon
MILOSZ,M,rare
MINNIE,F,rare
MIRIAM,F,uncommon
MIRREN,F,rare
MISCHA,F,rare
MITCHEL,M,rare
MITCHELL,M,common
MIYA,F,uncommon
MOHAMED,M,rare
MOHAMMAD,M,rare
MOHAMMED,M,uncommon
MOLLIE,F,basic
MOLLY,F,basic
MONICA,F,rare
MONIQUE,F,rare
MORGAN,M,basic
MORGAN,F,basic
MOYA,F,common
MUHAMMAD,M,uncommon
MUIREANN,F,uncommon
MURRAY,M,rare
MYA,F,common
MYAH,F,uncommon
MYIA,F,rare
MYLA,F,uncommon
MYLAH,F,rare
MYLEE,F,rare
MYLES,M,basic
MYLIE,F,uncommon
MYLO,M,rare
NADIA,F,basic
NADINE,F,common
NAIMH,F,rare
NAKITA,F,rare
NANCY,F,uncommon
NAOIMH,F,uncommon
NAOISE,M,uncommon
NAOISE,F,basic
NAOMH,F,uncommon
NAOMHAN,M,rare
NAOMI,F,basic
NATALIA,F,common
NATALIE,F,basic
NATALYA,F,rare
NATAN,M,rare
NATANIEL,M,uncommon
NATASHA,F,basic
NATASZA,F,rare
NATHAN,M,basic
NATHANAEL,M,rare
NATHANIEL,M,basic
NEAL,M,rare
NEALA,F,rare
NEAMH,F,rare
NEASA,F,rare
NED,M,rare
NEIL,M,basic
NEILAS,M,rare
NEILL,M,rare
NEITAS,M,rare
NELA,F,rare
NELL,F,rare
NESSA,F,rare
NEVAEH,F,uncommon
NEVE,F,common
NEVIN,M,rare
NIA,F,common
NIAL,M,rare
NIALL,M,basic
NIAMBH,F,rare
NIAMH,F,basic
NICHOLA,F,rare
NICHOLAS,M,basic
NICHOLE,F,rare
NICO,M,rare
NICOLA,F,basic
NICOLAS,M,uncommon
NICOLE,F,basic
NIGEL,M,rare
NIKITA,M,rare
NIKITA,F,basic
NIKKI,F,common
NIKKITA,F,rare
NIKODEM,M,uncommon
NIKOLA,F,uncommon
NIKOLAS,M,rare
NIKOLE,F,rare
NINA,F,basic
NISHA,F,rare
NOAH,M,basic
NOEL,M,basic
NOELLE,F,rare
NOJUS,M,uncommon
NOLA,F,rare
NORA,F,uncommon
NORAH,F,rare
NORMAN,M,rare
NUALA,F,common
NYAH,F,rare
NYLA,F,rare
OCEAN,F,rare
ODHRAN,M,basic
ODIN,M,rare
OISIN,M,basic
OLAF,M,rare
OLIVE,F,rare
OLIVER,M,basic
OLIVIA,F,basic
OLIVIER,M,uncommon
OLIWIA,F,uncommon
OLIWIER,M,uncommon
OLLIE,M,uncommon
OLLY,M,uncommon
OMAR,M,uncommon
OONAGH,F,basic
ORAN,M,basic
ORDHAN,M,rare
ORFHLAITH,F,rare
ORIN,M,rare
ORLA,F,basic
ORLAGH,F,basic
ORLAIGH,F,common
ORLAITH,F,basic
ORNA,F,rare
ORRAN,M,rare
ORRIN,M,rare
OSCAR,M,common
OSKAR,M,uncommon
OSKARAS,M,rare
OTIS,M,rare
OWEN,M,basic
PADDY,M,uncommon
PADHRAIC,M,rare
PADHRAIG,M,rare
PADRAIC,M,uncommon
PADRAIG,M,basic
PADRAIGIN,F,rare
PAIDI,M,uncommon
PAIGE,F,basic
PAOLO,M,rare
PARAIC,M,rare
PARIS,F,uncommon
PARKER,M,uncommon
PASCAL,M,rare
PATRICE,F,rare
PATRICIA,F,uncommon
PATRICK,M,basic
PATRYCJA,F,uncommon
PATRYK,M,uncommon
PAUL,M,basic
PAULA,F,common
PAULINA,F,uncommon
PAURIC,M,basic
PAWEL,M,rare
PAYTON,F,rare
PEADAR,M,basic
PEARCE,M,common
PEARSE,M,basic
PEGGY,F,rare
PENELOPE,F,uncommon
PENNIE,F,rare
PENNY,F,uncommon
PETER,M,basic
PEYTON,F,uncommon
PHELIM,M,uncommon
PHILIP,M,basic
PHILIPPA,F,uncommon
PHILLIP,M,uncommon
PHOEBE,F,basic
PHOENIX,M,rare
PIARAS,M,common
PIERCE,M,common
PIJUS,M,rare
PIOTR,M,uncommon
PIPER,F,rare
PIPPA,F,uncommon
PIXIE,F,uncommon
PODRAIG,M,rare
POL,M,uncommon
POLA,F,rare
POLLY,F,uncommon
POPPI,F,rare
POPPIE,F,rare
POPPY,F,basic
PRECIOUS,F,rare
PRESLEY,M,rare
PRESTON,M,common
PRIYA,F,rare
PYPER,F,rare
QUINN,M,uncommon
QUINN,F,rare
RACHAEL,F,basic
RACHEL,F,basic
RACHELLE,F,rare
RADHA,F,rare
RAFAEL,M,rare
RAICHEAL,F,rare
RAINA,F,rare
RALPH,M,uncommon
RAPHAEL,M,rare
RAVEN,F,rare
RAY,M,rare
RAYA,F,rare
RAYMOND,M,common
RAYYAN,M,rare
REA,F,rare
REAGAN,M,rare
REAGAN,F,rare
REANNA,F,rare
REANNE,F,rare
REBECCA,F,basic
REBEKA,F,rare
REBEKAH,F,basic
REBEKKA,F,rare
REECE,M,basic
REESE,M,rare
REESE,F,rare
REEVA,F,rare
REGAN,M,common
REGAN,F,common
REGGIE,M,rare
REID,M,rare
REILLY,M,uncommon
RENE,F,rare
RENEE,F,rare
REUBEN,M,basic
REX,M,rare
RHEA,F,common
RHEANNA,F,rare
RHIA,F,uncommon
RHIAN,F,uncommon
RHIANNA,F,common
RHIANNE,F,rare
RHIANNON,F,common
RHONA,F,rare
RHYLAN,M,rare
RHYS,M,basic
RIA,F,common
RIAH,F,rare
RIAIN,M,uncommon
RIAN,M,basic
RIANNA,F,rare
RICHARD,M,basic
RICHIE,M,rare
RICKY,M,rare
RIHANNA,F,uncommon
RILEY,M,common
RILEY,F,common
RIO,M,common
RIOGHAN,M,rare
RIOGHNACH,F,uncommon
RIONA,F,basic
RIONACH,F,uncommon
ROAN,M,common
ROBBIE,M,basic
ROBERT,M,basic
ROBERTA,F,rare
ROBIN,M,basic
ROBIN,F,rare
ROBYN,F,basic
ROCCO,M,uncommon
ROCHELLE,F,rare
ROGAN,M,uncommon
ROHAN,M,common
ROISE,F,basic
ROISIN,F,basic
ROKAS,M,rare
ROKSANA,F,rare
ROMA,F,uncommon
ROMAN,M,uncommon
ROMY,F,rare
RONAN,M,basic
RONIN,M,rare
RONNIE,M,rare
RORY,M,basic
ROSA,F,common
ROSANNA,F,rare
ROSE,F,basic
ROSEANNA,F,rare
ROSEMARY,F,uncommon
ROSEY,F,rare
ROSIE,F,basic
ROSS,M,basic
ROSSA,M,common
ROWAN,M,basic
ROWAN,F,rare
ROXANNE,F,rare
ROXY,F,rare
ROY,M,uncommon
RUA,F,rare
RUADHAN,M,uncommon
RUAIDHRI,M,rare
RUAIRI,M,basic
RUAN,M,rare
RUARI,M,uncommon
RUBEN,M,common
RUBI,F,rare
RUBIE,F,rare
RUBY,F,basic
RUDI,M,uncommon
RUDY,M,uncommon
RUSSELL,M,rare
RUTH,F,basic
RYAN,M,basic
RYANNA,F,rare
RYLAN,M,rare
RYLEE,M,uncommon
RYLEE,F,rare
RYLEY,M,uncommon
RYLIE,M,uncommon
SABRINA,F,rare
SACHA,F,uncommon
SADBH,F,rare
SADHBH,F,uncommon
SADIE,F,common
SAERLAITH,F,rare
SAFFRON,F,uncommon
SAFIYA,F,rare
SALLY,F,uncommon
SAM,M,basic
SAMANTA,F,rare
SAMANTHA,F,basic
SAMARA,F,uncommon
SAMMY,M,rare
SAMSON,M,rare
SAMUEL,M,basic
SANDRA,F,uncommon
SANTIAGO,M,rare
SAOIRSE,F,basic
SAORLA,F,uncommon
SAORLAITH,F,uncommon
SARA,F,basic
SARAH,F,basic
SASHA,F,basic
SASKIA,F,uncommon
SAUL,M,basic
SAVANNA,F,rare
SAVANNAH,F,common
SCARLET,F,uncommon
SCARLETT,F,common
SCOT,M,rare
SCOTT,M,basic
SE,M,common
SEAMUS,M,basic
SEAN,M,basic
SEANA,F,common
SEANAN,M,rare
SEANAN,F,rare
SEANEEN,F,rare
SEANIN,F,rare
SEANNA,M,rare
SEANNA,F,rare
SEBASTIAN,M,common
SELINA,F,rare
SENAN,M,common
SEONA,F,rare
SEREN,F,uncommon
SERENA,F,basic
SERENITY,F,rare
SETANTA,M,rare
SETH,M,common
SHAE,M,rare
SHAKIRA,F,uncommon
SHANA,F,rare
SHANE,M,basic
SHANEEN,F,rare
SHANIA,F,basic
SHANICE,F,common
SHANNA,F,uncommon
SHANNAGH,F,rare
SHANNAN,F,rare
SHANNEN,F,rare
SHANNON,F,basic
SHANTELLE,F,rare
SHARON,F,uncommon
SHAUN,M,basic
SHAUNA,F,basic
SHAUNEEN,F,uncommon
SHAY,M,basic
SHAYNE,M,uncommon
SHEA,M,basic
SHEILA,F,rare
SHELBY,F,uncommon
SHELLEY,F,rare
SHELLY,F,rare
SHEREE,F,rare
SHIRLEY,F,rare
SHONA,F,common
SHONAGH,F,rare
SHREYA,F,rare
SIAN,F,basic
SIENA,F,rare
SIENNA,F,common
SIERRA,F,rare
SIFN,F,rare
SIMAS,M,rare
SIMON,M,basic
SIMONE,F,uncommon
SINEAD,F,basic
SIOBHAN,F,common
SIOFRA,F,common
SIOMHA,F,rare
SIONAINN,F,rare
SIUN,F,rare
SKY,F,rare
SKYE,F,common
SKYLA,F,rare
SKYLAR,F,rare
SKYLER,F,rare
SOFIA,F,common
SOFIE,F,uncommon
SOFIJA,F,rare
SOL,M,uncommon
SOLOMON,M,rare
SOMMER,F,rare
SONIA,F,rare
SONNY,M,uncommon
SOPHIA,F,basic
SOPHIE,F,basic
SORCHA,F,basic
SPENCER,M,uncommon
STACEY,F,common
STANISLAW,M,rare
STANLEY,M,rare
STAR,F,rare
STEFAN,M,basic
STELLA,F,uncommon
STEPHANIE,F,basic
STEPHEN,M,basic
STEVE,M,rare
STEVEN,M,basic
STEVIE,M,rare
STEVIE,F,rare
STEWART,M,uncommon
STIOFAN,M,rare
STORM,F,rare
STUART,M,basic
SUMMER,F,basic
SUSAN,F,common
SUSANNA,F,common
SUSANNAH,F,uncommon
SUSANNE,F,rare
SUZANNA,F,rare
SUZANNAH,F,rare
SUZANNE,F,uncommon
SYDNEY,F,rare
SYLVIE,F,rare
SZYMON,M,uncommon
TABITHA,F,common
TADHG,M,common
TAI,M,rare
TAJUS,M,rare
TALIA,F,uncommon
TAMARA,F,common
TAMMIE,F,rare
TAMMY,F,uncommon
TAMSIN,F,rare
TAMZIN,F,common
TANIA,F,rare
TANISHA,F,uncommon
TANYA,F,uncommon
TARA,F,basic
TARLACH,M,rare
TARYN,F,rare
TASHA,F,rare
TATE,M,rare
TAYLOR,M,basic
TAYLOR,F,basic
TEAGAN,F,common
TEAGHAN,F,rare
TED,M,rare
TEDDIE,M,rare
TEDDY,M,rare
TEGAN,F,basic
TEIGAN,F,rare
TEIGHAN,F,rare
TEIRNA,F,rare
TEJA,F,rare
TERENCE,M,common
TERESA,F,uncommon
TERI,F,rare
TERRI,F,rare
TERRY,M,uncommon
TESS,F,common
TESSA,F,uncommon
THEA,F,common
THEO,M,common
THEODOR,M,rare
THEODORE,M,uncommon
THERESA,F,rare
THERESE,F,common
THERSSE,F,rare
THOM,M,rare
THOMAS,M,basic
TIA,F,basic
TIANA,F,common
TIANNA,F,common
TIARNA,F,common
TIARNACH,M,rare
TIARNAN,M,basic
TIEGAN,F,uncommon
TIERNA,F,common
TIERNAGH,F,rare
TIERNAN,M,basic
TIFFANY,F,common
TIGHEARNAN,M,rare
TILLIE,F,rare
TILLY,F,common
TIM,M,rare
TIMOTHY,M,basic
TIMUR,M,rare
TINA,F,rare
TITAS,M,rare
TNA,F,rare
TOBIAS,M,common
TOBY,M,basic
TODD,M,uncommon
TOLUWANIMI,F,rare
TOM,M,basic
TOMAS,M,basic
TOMASZ,M,rare
TOMMY,M,common
TONI,F,basic
TONICHA,F,rare
TONY,M,basic
TORI,F,basic
TORIN,M,uncommon
TORY,F,rare
TRACEY,F,rare
TRAVIS,M,basic
TREASA,F,rare
TREVOR,M,uncommon
TRINITY,F,uncommon
TRISTAN,M,basic
TRISTIN,M,rare
TROY,M,basic
TRUDY,F,rare
TULISA,F,rare
TURLOUGH,M,uncommon
TY,M,uncommon
TYANA,F,rare
TYE,M,rare
TYLER,M,basic
TYLER,F,rare
TYLOR,M,rare
TYMON,M,rare
TYMOTEUSZ,M,rare
TYRESE,M,rare
TYRONE,M,uncommon
UGNE,F,uncommon
ULTAN,M,common
UNA,F,basic
URSULA,F,uncommon
URTE,F,rare
VALENTINA,F,rare
VANESA,F,rare
VANESSA,F,common
VAUGHN,M,rare
VERONICA,F,rare
VICKY,F,rare
VICTOR,M,uncommon
VICTORIA,F,basic
VIKTORIA,F,rare
VILTE,F,rare
VINCENT,M,basic
VIOLET,F,uncommon
VIVIEN,F,rare
VIVIENNE,F,rare
WARREN,M,common
WAYNE,M,rare
WENDY,F,rare
WERONIKA,F,uncommon
WESLEY,M,rare
WHITNEY,F,rare
WIKTOR,M,rare
WIKTORIA,F,uncommon
WILL,M,common
WILLIAM,M,basic
WILLOW,F,uncommon
WILSON,M,rare
WINNIE,F,rare
WOJCIECH,M,uncommon
WOODY,M,rare
WYATT,M,rare
XANDER,M,rare
XAVIER,M,rare
XIN,F,rare
YASMIN,F,basic
YASMINE,F,rare
YAZMIN,F,uncommon
YOUSEF,M,rare
YUSUF,M,rare
YVIE,F,rare
YVONNE,F,rare
ZAC,M,basic
ZACH,M,basic
ZACHARIAH,M,uncommon
ZACHARY,M,basic
ZACK,M,basic
ZAHRA,F,rare
ZAIN,M,rare
ZAK,M,basic
ZAKK,M,rare
ZANDER,M,rare
ZANE,M,uncommon
ZARA,F,basic
ZARAH,F,rare
ZAYN,M,rare
ZIVA,F,rare
ZOE,F,basic
ZOEY,F,uncommon
ZOFIA,F,uncommon
ZUZANNA,F,uncommon
